4696		660		388		12		-6		20		
4699		661		388		0		-1		3		
4702		662		388		0		-1		3		
4705		663		388		0		-1		3		
4708		664		388		0		-1		3		
4711		665		388		0		-1		3		
4714		666		388		0		-1		3		
4717		667		388		0		-1		3		
4728		666		390		5		-3		11		
4734		668		390		5		-2		6		
4737		669		390		0		-1		3		
4740		670		390		0		-1		3		
4743		671		390		0		-1		3		
4746		672		390		0		-1		3		
4754		670		392		5		-4		8		
4760		672		392		5		-3		6		
4815		688		393		186		-155		55		
4818		689		393		0		-1		3		
4821		690		393		0		-1		3		
4824		691		393		0		-1		3		
4827		692		393		0		-1		3		
4830		693		393		0		-1		3		
4833		694		393		0		-1		3		
4839		689		396		8		-7		6		
4844		693		395		5		-4		5		
4850		695		395		5		-3		6		
4853		696		395		0		-1		3		
4870		697		397		5		-1		17		
4894		698		400		8		-1		24		
4911		699		402		5		-1		17		
4914		700		402		0		-1		3		
4917		701		402		0		-1		3		
4920		702		402		0		-1		3		
4923		703		402		0		-1		3		
4931		701		404		5		-4		8		
4937		703		404		5		-3		6		
4955		702		407		8		-2		18		
4972		703		409		5		-1		17		
4975		704		409		0		-1		3		
4978		705		409		0		-1		3		
4981		706		409		0		-1		3		
4992		705		411		5		-3		11		
4998		707		411		5		-2		6		
5001		708		411		0		-1		3		
5004		709		411		0		-1		3		
5007		710		411		0		-1		3		
5010		711		411		0		-1		3		
5013		712		411		0		-1		3		
5021		710		413		5		-4		8		
5027		712		413		5		-3		6		
5047		714		415		12		-3		20		
5050		715		415		0		-1		3		
5053		716		415		0		-1		3		
5056		717		415		0		-1		3		
5059		718		415		0		-1		3		
5062		719		415		0		-1		3		
5065		720		415		0		-1		3		
5068		721		415		0		-1		3		
5079		720		417		5		-3		11		
5085		722		417		5		-2		6		
5088		723		417		0		-1		3		
5091		724		417		0		-1		3		
5094		725		417		0		-1		3		
5097		726		417		0		-1		3		
5100		727		417		0		-1		3		
5105		724		419		5		-5		5		
5111		726		419		5		-4		6		
5117		728		419		5		-3		6		
5120		729		419		0		-1		3		
5123		730		419		0		-1		3		
5126		731		419		0		-1		3		
5137		730		421		5		-3		11		
5143		732		421		5		-2		6		
5146		733		421		0		-1		3		
5149		734		421		0		-1		3		
5152		735		421		0		-1		3		
5155		736		421		0		-1		3		
5158		737		421		0		-1		3		
5164		732		424		26		-27		6		
5169		736		423		5		-4		5		
5175		738		423		5		-3		6		
5178		739		423		0		-1		3		
5195		740		425		5		-1		17		
5222		742		428		101		-88		27		
5239		743		430		5		-1		17		
5242		744		430		0		-1		3		
5245		745		430		0		-1		3		
5248		746		430		0		-1		3		
5259		745		432		5		-3		11		
5265		747		432		5		-2		6		
5268		748		432		0		-1		3		
5271		749		432		0		-1		3		
5274		750		432		0		-1		3		
5277		751		432		0		-1		3		
5280		752		432		0		-1		3		
5285		749		434		5		-5		5		
5291		751		434		5		-4		6		
5297		753		434		5		-3		6		
5300		754		434		0		-1		3		
5303		755		434		0		-1		3		
5306		756		434		0		-1		3		
5317		755		436		5		-3		11		
5323		757		436		5		-2		6		
5326		758		436		0		-1		3		
5329		759		436		0		-1		3		
5332		760		436		0		-1		3		
5335		761		436		0		-1		3		
5343		759		438		5		-4		8		
5349		761		438		5		-3		6		
5367		760		441		8		-2		18		
5384		761		443		5		-1		17		
5387		762		443		0		-1		3		
